user_genome	classification	fastani_reference	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	classification_method	note	other_related_references(genome_id,species_name,ANI,AF)
bacteria04577	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae_A;g__Desulfuromonas_B;s__Desulfuromonas_B soudanensis	GCF_001278055.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae_A;g__Desulfuromonas_B;s__Desulfuromonas_B soudanensis	100.0	1.0	GCF_001278055.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae_A;g__Desulfuromonas_B;s__Desulfuromonas_B soudanensis	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria08741	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__GWC1-27-15;s__GWC1-27-15 sp1	GCA_001829125.1	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__GWC1-27-15;s__GWC1-27-15 sp1	99.65	0.84	GCA_001829125.1	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__GWC1-27-15;s__GWC1-27-15 sp1	99.65	0.84	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria07622	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWA2-54-12;s__GCA_001795535.1	GCA_001795535.1	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWA2-54-12;s__	100.0	0.99	GCA_001795535.1	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWA2-54-12;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria08670	d__Bacteria;p__Spirochaetota;c__UBA6919;o__GWB1-36-13;f__GWB1-36-13;g__GWB1-36-13;s__GCA_001829155.1	GCA_001829155.1	d__Bacteria;p__Spirochaetota;c__UBA6919;o__GWB1-36-13;f__GWB1-36-13;g__GWB1-36-13;s__	100.0	0.99	GCA_001829155.1	d__Bacteria;p__Spirochaetota;c__UBA6919;o__GWB1-36-13;f__GWB1-36-13;g__GWB1-36-13;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria06389	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__UBA1018;f__UBA1018;g__XYD1-FULL-55-31;s__XYD1-FULL-55-31 sp1	GCA_001770175.1	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__UBA1018;f__UBA1018;g__XYD1-FULL-55-31;s__XYD1-FULL-55-31 sp1	100.0	0.99	GCA_001770175.1	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__UBA1018;f__UBA1018;g__XYD1-FULL-55-31;s__XYD1-FULL-55-31 sp1	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria05416	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__DDH964;g__DDH964;s__GCF_001611275.1	GCF_001611275.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__DDH964;g__DDH964;s__	100.0	1.0	GCF_001611275.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__DDH964;g__DDH964;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria07828	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__UBA9959 sp1	GCA_001799715.1	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__UBA9959 sp1	99.64	0.94	GCA_001799715.1	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__UBA9959 sp1	99.64	0.94	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria15920	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__Syntrophus aciditrophicus	GCF_000013405.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__Syntrophus aciditrophicus	97.93	0.87	GCF_000013405.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__Syntrophus aciditrophicus	97.93	0.87	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria15587	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4851;s__UBA4851 sp1	GCA_002408445.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4851;s__UBA4851 sp1	99.26	0.74	GCA_002408445.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4851;s__UBA4851 sp1	99.26	0.74	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria14523	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__GCA_002381185.1	GCA_002381185.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__	98.85	0.88	GCA_002381185.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__	98.85	0.88	ANI/Placement	topological placement and ANI have congruent species assignments	
