num	taxNum	taxon	rawImprovement	RBIC
0	NA	NA	0	0.481517
1	548	GCA_002496855.1	1.510000	0.483396
2	624	GCA_001829295.1	0.880000	0.484490
3	444	GCA_001800475.1	0.710000	0.485373
4	646	GCA_001618385.1	0.670000	0.486206
5	566	GCA_002495775.1	0.610000	0.486965
6	755	GCA_005222505.1	0.610000	0.487724
7	23	GCA_004766055.1	0.600000	0.488470
8	513	GCA_002503495.1	0.590000	0.489204
9	90	bacteria30028	0.560000	0.489900
10	594	GCA_001772435.1	0.540000	0.490572
11	352	GCA_002068035.1	0.430000	0.491107
12	797	GCA_000179595.2	0.360000	0.491555
13	698	GCA_004195035.1	0.350000	0.491990
14	759	2757320499	0.350000	0.492425
15	609	bacteria30012	0.390000	0.492910
16	565	GCA_002502245.1	0.310000	0.493296
17	342	GCA_003138675.1	0.310000	0.493682
18	126	GCA_001825565.1	0.290000	0.494042
19	529	GCA_000021965.1	0.290000	0.494403
20	530	GCA_002495065.1	0.310000	0.494789
21	222	GCA_003165595.1	0.280000	0.495137
22	747	GCA_004526055.1	0.280000	0.495485
23	145	GCA_001854245.1	0.250000	0.495796
24	337	GCA_003142875.1	0.240000	0.496095
25	507	GCA_003154635.1	0.210000	0.496356
26	286	GCA_002897695.1	0.210000	0.496617
27	171	GCA_004796425.1	0.210000	0.496878
28	83	GCA_003353845.1	0.210000	0.497139
29	321	GCA_002403175.1	0.200000	0.497388
30	287	GCA_002067405.1	0.190000	0.497624
31	690	GCA_002782185.1	0.190000	0.497861
32	781	GCA_002292015.1	0.180000	0.498085
33	400	GCA_000813145.1	0.170000	0.498296
34	76	GCA_001799695.1	0.170000	0.498507
35	532	GCA_000275865.1	0.170000	0.498719
36	136	GCA_000526155.1	0.160000	0.498918
37	694	GCA_001803955.1	0.160000	0.499117
38	587	GCA_000011005.1	0.160000	0.499316
39	150	GCA_002452635.1	0.160000	0.499515
40	612	GCA_004525355.1	0.140000	0.499689
41	538	GCA_002503825.1	0.140000	0.499863
42	556	GCA_000327485.1	0.130000	0.500025
43	666	GCA_003141575.1	0.120000	0.500174
44	42	GCA_002307275.1	0.120000	0.500323
45	165	GCA_005116645.1	0.110000	0.500460
46	276	GCA_002067975.1	0.100000	0.500585
47	244	GCA_003228585.1	0.100000	0.500709
48	792	2757320500	0.100000	0.500833
49	416	GCA_001798605.1	0.100000	0.500958
50	776	GCA_002426245.1	0.090000	0.501070
51	775	GCA_002398105.1	0.120000	0.501219
52	777	GCA_002408305.1	0.110000	0.501356
53	772	GCA_002411325.1	0.180000	0.501580
54	588	bacteria30020	0.090000	0.501692
55	336	GCA_003165055.1	0.090000	0.501803
56	334	GCA_003163755.1	0.120000	0.501953
57	332	GCA_003166505.1	0.240000	0.502251
58	339	GCA_003165815.1	0.140000	0.502425
59	516	GCA_002497995.1	0.090000	0.502537
60	275	GCA_003694255.1	0.090000	0.502649
61	662	GCA_002415855.1	0.080000	0.502749
62	515	GCA_002508555.1	0.080000	0.502848
63	224	GCA_003599865.1	0.080000	0.502948
64	268	GCA_001771235.1	0.080000	0.503047
65	590	2744054410	0.080000	0.503147
66	768	GCA_002408935.1	0.070000	0.503234
67	62	GCA_001184205.1	0.070000	0.503321
68	61	2757320501	0.080000	0.503420
69	524	GCA_003135935.1	0.070000	0.503507
70	399	GCA_002841765.1	0.070000	0.503595
71	223	GCA_900167065.1	0.070000	0.503682
72	589	bacteria30021	0.060000	0.503756
73	483	GCA_003245835.1	0.070000	0.503843
74	460	GCA_003647755.1	0.060000	0.503918
75	459	GCA_001797525.1	0.060000	0.503993
76	610	2757320502	0.060000	0.504067
77	148	GCA_002798115.1	0.050000	0.504129
78	441	GCA_001800455.1	0.050000	0.504192
79	245	bacteria23265	0.050000	0.504254
80	311	GCA_001797695.1	0.070000	0.504341
81	468	GCA_001303465.1	0.050000	0.504403
82	501	GCA_003158355.1	0.040000	0.504453
83	514	GCA_002508585.1	0.040000	0.504502
84	645	GCA_001515945.1	0.040000	0.504552
85	704	GCA_002299555.1	0.050000	0.504614
86	644	GCA_900184255.1	0.050000	0.504677
87	347	GCA_002347685.1	0.040000	0.504726
88	552	GCA_002839605.1	0.040000	0.504776
89	24	GCA_000231405.3	0.030000	0.504813
90	28	GCA_002422465.1	0.030000	0.504851
91	221	GCA_003353855.1	0.030000	0.504888
92	387	GCA_001802095.1	0.030000	0.504925
93	439	GCA_001804885.1	0.030000	0.504963
94	492	bacteria23259	0.020000	0.504988
95	9	GCA_004766045.1	0.020000	0.505012
96	220	GCA_002423615.1	0.020000	0.505037
97	154	GCA_003818505.1	0.020000	0.505062
98	756	GCA_003612855.1	0.020000	0.505087
99	577	GCA_000017625.1	0.020000	0.505112
100	195	GCA_001311845.1	0.020000	0.505137
101	206	2757320505	0.010000	0.505149
102	716	GCA_002418835.1	0.010000	0.505162
103	643	GCA_001440545.1	0.010000	0.505174
104	461	GCA_003141275.1	0.010000	0.505187
105	305	2757320506	0.010000	0.505199
106	388	GCA_003574895.1	0.010000	0.505211
