genome_name,original_name,genome_size,completeness,redundancy,GC.,taxonomy,ncbi_taxonomy,Phylum,Group,gtdb_taxonomy,Strain,BioSample,BioProject,Level,Scaffolds,Release.Date,Study,Environment,Code
archaea00015,GCA_000011005.1,2.96,100,0.653594771,54.9,Methanocella paludicola SANAE ,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__,SANAE,SAMD00060931,PRJDA20361,Complete,1,2009-12-25T23:03:00Z,Reference,Reference,Isolate
archaea00024,GCA_000013445.1,3.54,99.01960784,0.326797386,45.1,Methanospirillum hungatei JF-1 ,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__;s__,JF-1,SAMN02598287,PRJNA13015,Complete,1,2006-02-17T00:00:00Z,Reference,Reference,Isolate
archaea00041,GCA_000017625.1,2.54,99.54248366,1.307189542,54.5,Methanoregula boonei 6A8 ,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,6A8,SAMN02598409,PRJNA18505,Complete,1,2007-07-26T00:00:00Z,Reference,Reference,Isolate
archaea00050,GCA_000021965.1,2.92,99.83552632,0,55.4,Methanosphaerula palustris E1-9c ,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__;s__,E1-9c,SAMN00001866,PRJNA29381,Complete,1,2009-01-05T00:00:00Z,Reference,Reference,Isolate
archaea00075,GCA_000063445.1,3.18,100,0,54.6,Methanocella arvoryzae MRE50 ,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanocellales;f__Methanocellaceae;g__;s__,MRE50,SAMEA3138262,PRJNA19641,Complete,1,2006-07-21T00:00:00Z,Reference,Reference,Isolate
archaea00142,GCA_000306725.1,3.07,99.83660131,0,44.6,Methanolobus psychrophilus R15 ,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus_A;s__,R15,SAMN00739943,PRJNA74005,Complete,1,2012-10-18T00:00:00Z,Reference,Reference,Isolate
archaea00145,GCA_000327485.1,2.82,99.86928105,0,55.2,Methanoregula formicica SMSP ,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,SMSP,SAMN02232038,PRJNA63567,Complete,1,2012-12-21T00:00:00Z,Reference,Reference,Isolate
archaea00148,GCA_000328665.1,2.71,99.83660131,0.326797386,41.8436,Methanomethylovorans hollandica DSM 15978 ,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__,DSM 15978,SAMN02261367,PRJNA50749,Complete,2,2012-12-28T00:00:00Z,Reference,Reference,Isolate
archaea00312,GCA_002494705.1,1.71,95,0,58.7,Methanomassiliicoccus sp. UBA238,Archaea;Euryarchaeota;Diaforarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__,UBA238,SAMN06027184,PRJNA348753,Scaffold,47,2017-10-10T00:00:00Z,Parks2017,Biogas_reactor,Engineered
archaea00330,GCA_002495055.1,2.75,94.99547511,5.379587733,48,Methanoregula sp. UBA247,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,UBA247,SAMN06027050,PRJNA348753,Scaffold,74,2017-10-10T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
