assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCA_000969705.1	PRJNA82631	SAMN02745916	LATF00000000.1		representative genome	assembly from type material	1069448	427918	Nitriliruptor alkaliphilus DSM 45188	strain=DSM 45188		latest	Scaffold	Major	Full	2015/04/06	ASM96970v1	JGI	GCF_000969705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/705/GCA_000969705.1_ASM96970v1	./nitril/genbank/bacteria/GCA_000969705.1/GCA_000969705.1_ASM96970v1_genomic.fna.gz
GCA_003074135.1	PRJNA430133	SAMN08366825	PPDK00000000.1		na	assembly from type material	591198	591198	Euzebya tangerina	strain=F10		latest	Contig	Major	Full	2018/04/26	ASM307413v1	Shenzhen University	GCF_003074135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/135/GCA_003074135.1_ASM307413v1	./nitril/genbank/bacteria/GCA_003074135.1/GCA_003074135.1_ASM307413v1_genomic.fna.gz
GCA_003344865.1	PRJNA481858	SAMN09691332			na		1608957	1608957	Euzebya sp. DY32-46	strain=DY32-46		latest	Complete Genome	Major	Full	2018/07/29	ASM334486v1	Zhejiang Sci-Tech University	GCF_003344865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/344/865/GCA_003344865.1_ASM334486v1	./nitril/genbank/bacteria/GCA_003344865.1/GCA_003344865.1_ASM334486v1_genomic.fna.gz
GCA_004300825.1	PRJNA511635	SAMN10641948			na	assembly from type material	1670830	1670830	Egicoccus halophilus	strain=EGI 80432		latest	Complete Genome	Major	Full	2019/02/26	ASM430082v1	Sun Yat-sen University	GCF_004300825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/300/825/GCA_004300825.1_ASM430082v1	./nitril/genbank/bacteria/GCA_004300825.1/GCA_004300825.1_ASM430082v1_genomic.fna.gz
GCA_004322855.1	PRJNA515972	SAMN10780229			na	assembly from type material	1670831	1670831	Egibacter rhizosphaerae	strain=EGI 80759		latest	Complete Genome	Major	Full	2019/03/03	ASM432285v1	Sun Yat-Sen University	GCF_004322855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/322/855/GCA_004322855.1_ASM432285v1	./nitril/genbank/bacteria/GCA_004322855.1/GCA_004322855.1_ASM432285v1_genomic.fna.gz
GCA_003553795.1	PRJNA434545	SAMN08575126	PWFH00000000.1	derived from metagenome	na		2003555	2003555	Egibacter sp.		T1Sed10_49	latest	Contig	Major	Full	2018/09/12	ASM355379v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/553/795/GCA_003553795.1_ASM355379v1	./nitril/genbank/bacteria/GCA_003553795.1/GCA_003553795.1_ASM355379v1_genomic.fna.gz
GCA_003556365.1	PRJNA434545	SAMN08574649	PWRC00000000.1	derived from metagenome	na		2003555	2003555	Egibacter sp.		CSSed10_74	latest	Contig	Major	Full	2018/09/13	ASM355636v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/556/365/GCA_003556365.1_ASM355636v1	./nitril/genbank/bacteria/GCA_003556365.1/GCA_003556365.1_ASM355636v1_genomic.fna.gz
GCA_003073135.1	PRJNA417214	SAMN07980965	PGDQ00000000.1		na	assembly from type material	2052804	2052804	Euzebya rosea	strain=DSW09		latest	Contig	Major	Full	2018/04/26	ASM307313v1	Shenzhen University	GCF_003073135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/073/135/GCA_003073135.1_ASM307313v1	./nitril/genbank/bacteria/GCA_003073135.1/GCA_003073135.1_ASM307313v1_genomic.fna.gz
GCA_003550915.1	PRJNA434545	SAMN08575270	PULK00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		B1Sed10_48	latest	Contig	Major	Full	2018/09/12	ASM355091v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/550/915/GCA_003550915.1_ASM355091v1	./nitril/genbank/bacteria/GCA_003550915.1/GCA_003550915.1_ASM355091v1_genomic.fna.gz
GCA_003552015.1	PRJNA434545	SAMN08575197	PUOF00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		B1Sed10_152	latest	Contig	Major	Full	2018/09/12	ASM355201v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/552/015/GCA_003552015.1_ASM355201v1	./nitril/genbank/bacteria/GCA_003552015.1/GCA_003552015.1_ASM355201v1_genomic.fna.gz
